,Date,Open_P,High_P,Low_P,Close_P,Adj_Close,Volume,pct
2220,2011-06-01,1561.01,1561.01,1553.98,1556.42,1556.42,168860400.0,-0.0010397679135323301
2221,2011-05-31,1541.5,1566.29,1541.5,1558.29,1558.29,404034600.0,0.0012014751802211787
2222,2011-05-30,1550.07,1550.07,1542.84,1542.84,1542.84,119960800.0,-0.009914714205956576
2223,2011-05-27,1545.09,1549.96,1543.21,1548.69,1548.69,134680800.0,0.0037917087967644925
2224,2011-05-26,1538.35,1543.63,1538.35,1540.94,1540.94,126025800.0,-0.005004229380960679
2225,2011-05-25,1533.24,1537.66,1530.0,1533.57,1533.57,110348000.0,-0.0047827949173882
2226,2011-05-24,1531.28,1533.22,1525.71,1532.12,1532.12,134801000.0,-0.0009455062370807843
2227,2011-05-23,1541.27,1542.8,1528.06,1528.98,1528.98,97898400.0,-0.0020494478239301284
2228,2011-05-20,1544.09,1547.94,1541.03,1541.03,1541.03,99498400.0,0.007881071040824583
2229,2011-05-19,1543.38,1550.62,1541.97,1544.02,1544.02,122717800.0,0.0019402607347034362
2230,2011-05-18,1538.21,1543.35,1537.33,1541.27,1541.27,140252000.0,-0.0017810650121112825
2231,2011-05-16,1541.84,1545.34,1536.27,1536.27,1536.27,88250800.0,-0.00324407793572834
2232,2011-05-13,1533.47,1545.21,1532.94,1540.74,1540.74,132088000.0,0.0029096447890020194
2233,2011-05-12,1533.42,1535.71,1532.1,1532.29,1532.29,92403200.0,-0.00548437763672005
2234,2011-05-11,1525.72,1538.54,1525.72,1536.03,1536.03,118557600.0,0.0024407912340354
2235,2011-05-10,1518.97,1525.78,1518.15,1523.37,1523.37,87675600.0,-0.008242026522919499
2236,2011-05-09,1517.21,1520.36,1515.39,1519.41,1519.41,77273200.0,-0.0025994997932214936
2237,2011-05-06,1519.16,1519.16,1507.64,1515.5,1515.5,117743200.0,-0.0025733672938839103
2238,2011-05-05,1525.63,1526.18,1520.18,1521.18,1521.18,87724600.0,0.00374793797426598
2239,2011-05-04,1537.48,1537.71,1519.77,1528.43,1528.43,104786400.0,0.004766036892412506
2240,2011-05-03,1535.99,1537.85,1530.05,1531.47,1531.47,84642400.0,0.0019889690728394083
2241,2011-04-29,1540.55,1540.55,1529.63,1534.95,1534.95,92018200.0,0.002272326588179885
2242,2011-04-28,1532.36,1535.3,1531.11,1535.3,1535.3,102424000.0,0.00022802045669223503
2243,2011-04-27,1527.71,1534.69,1526.58,1529.91,1529.91,112300200.0,-0.0035107145183350674
2244,2011-04-26,1525.72,1527.56,1520.49,1527.34,1527.34,116880000.0,-0.0016798373760549268
2245,2011-04-25,1523.46,1526.83,1522.99,1524.05,1524.05,45114800.0,-0.002154071784933209
2246,2011-04-22,1527.33,1527.75,1522.75,1522.75,1522.75,69175200.0,-0.0008529903874544553
2247,2011-04-21,1533.2,1535.09,1526.33,1526.33,1526.33,95682800.0,0.002351009686422545
2248,2011-04-20,1525.9,1531.02,1525.9,1531.02,1531.02,125426800.0,0.003072730012513736
2249,2011-04-19,1520.21,1522.72,1514.94,1521.53,1521.53,107061000.0,-0.006198482057713117
2250,2011-04-18,1526.03,1533.18,1524.53,1527.92,1527.92,105009400.0,0.0041997200186654204
2251,2011-04-15,1529.59,1532.0,1517.68,1521.94,1521.94,118357600.0,-0.003913817477354864
2252,2011-04-14,1537.85,1540.55,1525.8,1525.8,1525.8,103767400.0,0.002536236645334089
2253,2011-04-13,1524.81,1539.7,1517.84,1535.59,1535.59,106396800.0,0.0064163062000262006
2254,2011-04-12,1539.46,1539.46,1522.15,1525.92,1525.92,96428000.0,-0.006297253824262938
2255,2011-04-11,1559.67,1559.68,1540.67,1544.0,1544.0,137020400.0,0.01184858970326097
2256,2011-04-08,1561.66,1563.43,1557.49,1557.49,1557.49,109724600.0,0.008737046632124379
2257,2011-04-07,1556.83,1561.93,1554.6,1561.93,1561.93,147125600.0,0.002850740614707137
2258,2011-04-06,1553.07,1553.9,1549.84,1552.89,1552.89,120195200.0,-0.005787711357103098
2259,2011-04-05,1556.28,1557.43,1552.27,1553.07,1553.07,117345000.0,0.00011591291076618049
2260,2011-04-04,1561.94,1565.04,1553.82,1555.48,1555.48,129656800.0,0.0015517652134160453
2261,2011-04-01,1547.04,1555.38,1547.04,1555.38,1555.38,149932000.0,-6.428883688625042e-05
2262,2011-03-31,1536.61,1545.13,1535.0,1545.13,1545.13,199552600.0,-0.006590029446180368
2263,2011-03-30,1522.98,1532.68,1522.36,1531.63,1531.63,145728800.0,-0.008737128914719117
2264,2011-03-29,1517.03,1520.09,1514.05,1520.09,1520.09,151179200.0,-0.007534456755221686
